Mile,Race 1,Race 2,Race 3,Race 4,,
1,1001,1100,1021,1012,,
2,947,1034,954,937,,
3,956,1028,1008,943,,
4,922,1051,1010,934,,
5,948,1209,1011,927,,
6,1017,1212,1029,952,,
7,951,1200,1040,1013,,
8,1007,1103,1117,957,,
9,1105,1151,1151,1014,,
10,1016,1138,1155,1020,,
11,1054,1340,1146,1151,,
12,1155,1125,1249,1014,,
13,950,1200,1125,1125,,
14,1020,1219,1225,1132,,
15,1122,1319,1352,1155,,
16,1133,1221,1203,1157,,
17,1055,1231,1322,1116,,
18,1053,1115,1233,1205,,
19,1140,1200,1358,1128,,
20,1326,1152,1340,1240,,
21,1211,1332,1158,1137,,
22,1332,1051,1134,1145,,
23,1238,1442,1108,1225,,
24,1310,1309,1139,1250,,
25,1439,1324,1245,1128,,
26,1018,1408,1112,1258,,
